index,Store_ID,Month,Dept,IsHoliday,Weekly_Sales,CPI,Unemployment
0,1,2,1,0,24924.5,211.0963582,8.106
1,1,2,26,0,11737.12,211.0963582,8.106
2,1,2,17,0,13223.76,211.0963582,8.106
3,1,2,79,0,46729.77,211.0963582,8.106
4,1,2,55,0,21249.31,211.0963582,8.106
5,1,2,5,0,32229.38,211.0963582,8.106
6,1,2,74,0,12251.94,211.0963582,8.106
7,1,2,38,0,115564.35,211.0963582,8.106
8,1,2,93,0,64494.87,211.0963582,8.106
9,1,2,23,0,24146.49,211.0963582,8.106
10,1,2,16,0,10217.55,211.0963582,8.106
11,1,2,95,0,106690.06,211.0963582,8.106
12,1,2,2,0,50605.27,211.0963582,8.106
13,1,2,4,0,39954.04,211.0963582,8.106
14,1,2,80,0,15694.17,211.0963582,8.106
15,1,2,8,0,40129.01,211.0963582,8.106
16,1,2,46,0,20837.77,211.0963582,8.106
17,1,2,90,0,76419.47,211.0963582,8.106
18,1,2,14,0,19466.91,211.0963582,8.106
19,1,2,94,0,56655.39,211.0963582,8.106
20,1,2,97,0,32153.04,211.0963582,8.106
21,1,2,49,0,11501.46,211.0963582,8.106
22,1,2,91,0,62424.14,211.0963582,8.106
23,1,2,3,0,13740.12,211.0963582,8.106
24,1,2,32,0,11875.84,211.0963582,8.106
25,1,2,81,0,30052.75,211.0963582,8.106
26,1,2,22,0,13623.98,211.0963582,8.106
27,1,2,82,0,19484.03,211.0963582,8.106
28,1,2,13,0,41969.29,211.0963582,8.106
29,1,2,40,0,66780.63,211.0963582,8.106
30,1,2,25,0,11609.5,211.0963582,8.106
31,1,2,10,0,30721.5,211.0963582,8.106
32,1,2,72,0,98499.12,211.0963582,8.106
33,1,2,92,0,139884.94,211.0963582,8.106
34,1,2,11,0,24213.18,211.0963582,8.106
35,1,2,98,0,10891.37,211.0963582,8.106
36,1,2,3,1,10887.84,211.2421698,8.106
37,1,2,79,1,36080.86,211.2421698,8.106
38,1,2,46,1,18826.47,211.2421698,8.106
39,1,2,13,1,36476.4,211.2421698,8.106
40,1,2,17,1,13403.66,211.2421698,8.106
41,1,2,23,1,22812.41,211.2421698,8.106
42,1,2,87,1,39254.57,211.2421698,8.106
43,1,2,4,1,35351.21,211.2421698,8.106
44,1,2,7,1,18310.31,211.2421698,8.106
45,1,2,14,1,18129.02,211.2421698,8.106
46,1,2,55,1,18892.81,211.2421698,8.106
47,1,2,11,1,21760.75,211.2421698,8.106
48,1,2,98,1,16309.73,211.2421698,8.106
49,1,2,32,1,14700.59,211.2421698,8.106
50,1,2,5,1,29620.81,211.2421698,8.106
51,1,2,9,1,16562.49,211.2421698,8.106
52,1,2,49,1,16139.05,211.2421698,8.106
53,1,2,80,1,16720.84,211.2421698,8.106
54,1,2,82,1,20949.36,211.2421698,8.106
55,1,2,93,1,70202.02,211.2421698,8.106
56,1,2,8,1,37334.83,211.2421698,8.106
57,1,2,81,1,30694.25,211.2421698,8.106
58,1,2,25,1,13268.75,211.2421698,8.106
59,1,2,94,1,62329.48,211.2421698,8.106
60,1,2,40,1,60828.25,211.2421698,8.106
61,1,2,26,1,10050.92,211.2421698,8.106
62,1,2,97,1,33874.47,211.2421698,8.106
63,1,2,38,1,94136.35,211.2421698,8.106
64,1,2,74,1,11857.96,211.2421698,8.106
65,1,2,10,1,31494.77,211.2421698,8.106
66,1,2,34,1,12852.83,211.2421698,8.106
67,1,2,22,1,14807.95,211.2421698,8.106
68,1,2,91,1,66937.0,211.2421698,8.106
69,1,2,95,1,111390.36,None,8.106
70,1,2,2,1,44682.74,211.2421698,8.106
71,1,2,90,1,79455.64,211.2421698,8.106
72,1,2,1,1,46039.49,211.2421698,8.106
73,1,2,16,1,11873.89,211.2421698,8.106
74,1,2,18,1,19006.5,211.2421698,8.106
75,1,2,67,1,17614.47,211.2421698,8.106
76,1,2,92,1,143081.42,211.2421698,8.106
77,1,2,72,1,79636.32,211.2421698,8.106
78,1,2,3,0,11523.47,211.2891429,8.106
79,1,2,93,0,62581.64,211.2891429,8.106
80,1,2,8,0,38717.6,211.2891429,8.106
81,1,2,7,0,19985.2,211.2891429,8.106
82,1,2,97,0,31585.78,211.2891429,8.106
83,1,2,13,0,37857.68,211.2891429,8.106
84,1,2,79,0,34141.62,211.2891429,8.106
85,1,2,80,0,15918.98,211.2891429,8.106
86,1,2,98,0,12087.95,211.2891429,8.106
87,1,2,25,0,10271.25,211.2891429,8.106
88,1,2,87,0,33593.8,211.2891429,8.106
89,1,2,17,0,13485.61,211.2891429,8.106
90,1,2,38,0,98672.59,211.2891429,8.106
91,1,2,74,0,13917.2,211.2891429,8.106
92,1,2,5,0,26468.27,211.2891429,8.106
93,1,2,81,0,28784.91,211.2891429,8.106
94,1,2,4,0,36826.95,211.2891429,8.106
95,1,2,32,0,20275.45,211.2891429,8.106
96,1,2,14,0,17491.36,211.2891429,8.106
97,1,2,9,0,15880.85,211.2891429,8.106
98,1,2,55,0,17404.53,211.2891429,8.106
99,1,2,16,0,13855.54,211.2891429,8.106
100,1,2,2,0,47928.89,211.2891429,8.106
101,1,2,18,0,17623.72,211.2891429,8.106
102,1,2,94,0,72212.32,211.2891429,8.106
103,1,2,40,0,68569.53,211.2891429,8.106
104,1,2,49,0,16736.17,211.2891429,8.106
105,1,2,1,0,41595.55,211.2891429,8.106
106,1,2,11,0,18706.21,211.2891429,8.106
107,1,2,82,0,20195.2,211.2891429,8.106
108,1,2,46,0,22414.94,211.2891429,8.106
109,1,2,10,0,29634.13,211.2891429,8.106
110,1,2,34,0,13006.5,211.2891429,8.106
111,1,2,26,0,10547.6,211.2891429,8.106
112,1,2,72,0,72377.79,211.2891429,8.106
113,1,2,23,0,21381.85,211.2891429,8.106
114,1,2,91,0,63011.44,211.2891429,8.106
115,1,2,22,0,12290.16,211.2891429,8.106
116,1,2,90,0,76091.36,211.2891429,8.106
117,1,2,95,0,107952.07,211.2891429,8.106
118,1,2,92,0,135066.75,211.2891429,8.106
119,1,2,67,0,16411.69,211.2891429,8.106
120,1,2,79,0,33309.85,211.3196429,8.106
121,1,2,49,0,16245.13,211.3196429,8.106
122,1,2,98,0,10871.74,211.3196429,8.106
123,1,2,8,0,35318.2,211.3196429,8.106
124,1,2,17,0,10667.06,211.3196429,8.106
125,1,2,3,0,11135.17,211.3196429,8.106
126,1,2,93,0,57630.02,211.3196429,8.106
127,1,2,55,0,16708.1,211.3196429,8.106
128,1,2,34,0,12005.0,211.3196429,8.106
129,1,2,13,0,37467.32,211.3196429,8.106
130,1,2,5,0,24101.89,211.3196429,8.106
131,1,2,38,0,92755.59,211.3196429,8.106
132,1,2,74,0,13330.89,211.3196429,8.106
133,1,2,2,0,44292.87,211.3196429,8.106
134,1,2,4,0,34660.16,211.3196429,8.106
135,1,2,25,0,10218.67,211.3196429,8.106
136,1,2,7,0,17224.22,211.3196429,8.106
137,1,2,40,0,64328.29,211.3196429,8.106
138,1,2,97,0,28457.31,211.3196429,8.106
139,1,2,23,0,17798.37,211.3196429,8.106
140,1,2,82,0,19023.33,211.3196429,8.106
141,1,2,16,0,12881.02,211.3196429,8.106
142,1,2,87,0,32299.49,211.3196429,8.106
143,1,2,11,0,17306.61,211.3196429,8.106
144,1,2,10,0,27921.96,211.3196429,8.106
145,1,2,94,0,55501.07,211.3196429,8.106
146,1,2,80,0,15673.94,211.3196429,8.106
147,1,2,9,0,15175.52,211.3196429,8.106
148,1,2,91,0,57335.17,211.3196429,8.106
149,1,2,1,0,19403.54,211.3196429,8.106
150,1,2,14,0,16118.26,211.3196429,8.106
151,1,2,95,0,103652.58,211.3196429,8.106
152,1,2,46,0,18099.75,211.3196429,8.106
153,1,2,81,0,28213.79,211.3196429,8.106
154,1,2,72,0,55590.73,211.3196429,8.106
155,1,2,90,0,71718.48,211.3196429,8.106
156,1,2,92,0,125048.08,211.3196429,8.106
157,1,3,8,0,38776.09,211.3501429,8.106
158,1,3,79,0,42931.77,211.3501429,8.106
159,1,3,98,0,10903.65,211.3501429,8.106
160,1,3,3,0,12275.58,211.3501429,8.106
161,1,3,25,0,10345.5,211.3501429,8.106
162,1,3,5,0,23082.14,211.3501429,8.106
163,1,3,82,0,19974.91,211.3501429,8.106
164,1,3,7,0,19659.7,211.3501429,8.106
165,1,3,93,0,63550.08,211.3501429,8.106
166,1,3,16,0,17129.81,211.3501429,8.106
167,1,3,49,0,16445.28,211.3501429,8.106
168,1,3,1,0,21827.9,211.3501429,8.106
169,1,3,11,0,19082.9,211.3501429,8.106
170,1,3,38,0,108282.86,211.3501429,8.106
171,1,3,2,0,48397.98,211.3501429,8.106
172,1,3,10,0,33299.27,211.3501429,8.106
173,1,3,80,0,15680.71,211.3501429,8.106
174,1,3,97,0,31576.47,211.3501429,8.106
175,1,3,91,0,62755.71,211.3501429,8.106
176,1,3,23,0,18993.69,211.3501429,8.106
177,1,3,81,0,29957.47,211.3501429,8.106
178,1,3,95,0,112807.75,211.3501429,8.106
179,1,3,34,0,12571.5,211.3501429,8.106
180,1,3,4,0,38086.19,211.3501429,8.106
181,1,3,90,0,78081.85,211.3501429,8.106
182,1,3,17,0,12657.65,211.3501429,8.106
183,1,3,72,0,65525.74,211.3501429,8.106
184,1,3,14,0,18268.78,211.3501429,8.106
